必胜的罗什福尔;光明剑士里昂;四天王夏洛特;感官觉醒的塞奥;气球爆炸弗莱克;
审判者文森特;恶灵乌鸦;司令斯派洛;牛仔梅西;特蕾莎·克罗佐恩;
修梅尔·托拉巴特;诺拉·瓦尔基里;露比·罗丝;莉安娜·哈迪兰;艾尔菲尔特·瓦伦蒂;
代号：圣诞节;万圣节巧克莉;孤单寂寞的普格斯;渔夫喵;猎人莱瑟;
扭蛋战队吉;南方亲卫队;女警;魔导工程师;小红帽;
古惑仔;音乐同好会;猎鹰精英;喵奇奇;豹女郎;
黄道军双胞胎;蓝骑士·杰西;蓝骑士拉伊勒;悬赏猎人;恶童铁木尔;
偷猎者 博里什;舰船维修工;山贼;魔法少女明日香;黑袍魔女桃乐丝;咖啡香气浓郁的阿波加托;变形师温斯顿;江神殷珈蓝;
破碎的愿望 美狄亚;异次元的侵略者卡罗琳;干涸乐园里的艾芬德尔;笔头生花西归;星之魔女艾斯黛儿;
裁缝大师拉贝尔;变脸大师 王道;百王 裴花;爱憎妖怪 乌拉科;灵魂引导者 格里姆利佩;
觉醒的冰结师 洛琪艾丝;恶作剧之神 洛基;引导者 奥西里斯;风之魔女乌尔弗兰姆;月亮花 伊吹;
水之魔女 贝斯派;稀世怪盗路尼昂;异端审判官乌列;丰饶女神德米特尔;死灵法师内克伦;
状元李梦龙;黑桃王后爱丽丝;月光女神莉莉丝;贪婪的形象 马蒙;初次呼吸的星云;
命运颠覆者里韦亚;阎罗;纯粹的器皿弗雷德里克;极速投递手尼古拉;卡米尔拉·瓦奴芙;
初代森林魔女 罗薇塔;安妮斯朵拉;旋风 杏;黄金百合 安娜;巡礼者 韩湘子;
森罗万象 海獭;魔法傀儡师·贝萝特;创造者宾森恩;自然的纳兹伦;夜之女王瑞秋;
冰封王座萨斯夸奇;阎罗使者桂香;觉醒的雅甘;赛拉斯·阿尔博莱特;尼玛;
多拉;莉西亚·爱维列特;葛拉丝;菲托莉亚;矿人道士;
碧翠丝;爱蜜莉雅;拉姆;迪兹;小女孩;
荒狂电光夏尔美;神乐千鹤;婕克·欧;拉姆蕾萨尔·瓦伦蒂;圣诞老人;
可爱巧克莉;布里奇特;暴风忍者团;涅斯军团女巫;吸血鬼;
阿尔卑斯少女;扭蛋战队比;顿悟的海獭;机械少女-零;超自然同好会;
冰霜法师;黄道军 凯西;主持人;蓝骑士·拉维亚;女神教异端审判者;
被迷惑的魔法师;理查德金;伊恩斯;助理研究员;御史随员;
暗黑修女梅丽莎;救世的圣母玛利亚;千金品格阿什莉;痛苦的传道者巴哈拉;庆典的化身莱伊;
心愿继承人赫拉;苍穹闪光宙斯;通缉犯蕾芝;虎神韩罗;神秘的植物学家林奈;
星之声 玛丽;守卫者 伽罗尼卡;深渊的仰慕者 舒布;羊之女王 斯佩拉;幸运星 里基;
次元行者 克洛内;先知 墨菲斯;白花瓦莉;圣都之守护者 诺埃尔;虚无的福斯特;
涅斯军长官尤莉娅;诱惑之奥菲欧;无限的贝阿朵莉切;追求幸福的达拉;美食猎人彩依;
神女卑弥呼;光之南丁格尔;暗黑引领者兰卡斯特;巧克莉;堕落的器皿弗朗西斯卡;
异界漂流者春树;圣诞节的恶梦克朗普斯;艾丽;飘舞的红叶 枫;艺术家 巴斯奎特;
圣域守护者 瓦日尼尔;阴阳师 晴明;外交官·赛莲;星光之娅莉娅;疯狂科学家斯坦因;
万能的乌帕;急救特工护士;九尾狐阿狸;猫咪大师喵;艾可;
欧菲莉亚·克莱门特;诗芙丽;罗里;库莉姆;蜥蜴僧侣;
女神官;菲莉丝;麻宫雅典娜;椎拳崇;伊诺;
代号：麋鹿;巧克莉（三星）;阳赫;喵星人;罗曼祭司;
高级女仆;护士学生;修道院长;扭蛋战队皮;毛熊同好会;
医务社员;采药专家;黄道军阿库里埃斯;涅斯军乐队;蓝骑士·比乌斯;
蓝骑士阿雷西亚;被迷惑的信徒;进化学者斯佩恩苏;原始上古乌帕族;君特博士;
针灸师;
